"id","title","image","schoolId","scholarship","scholarshipInformation","duration","price","currency","acceptanceFee","acceptanceFeeCurrency","objectives","courseWebsiteUrl","programLevel","loanInformation","ratings","createdAt"
"A2r22zY2Ly","B.Sc Guidance and Counseling","https://images.pexels.com/photos/6503101/pexels-photo-6503101.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",845000,"NGN",100000,"NGN","This undergraduate programme in Guidance and Counseling is designed to give students a solid grounding in the core theories, principles, and practical skills that define the field. Students engage with teaching methods, educational psychology, and curriculum design alongside supervised teaching practice. The programme builds practical teaching competence alongside a strong understanding of how learners develop. On completion, graduates are well positioned for entry-level careers in classroom teaching, curriculum development, and educational administration, or to pursue further postgraduate study. The programme places strong emphasis on both theoretical depth and practical relevance to real-world contexts in Nigeria and beyond.","https://www.babcock.edu.ng/program/bsc-guidance-and-counseling","Undergraduate","No loan currently available",0,"2026-07-12T20:25:03.986Z"
"IJtXq9G1Fa","B.Sc Business Administration","https://images.pexels.com/photos/4342498/pexels-photo-4342498.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",860000,"NGN",100000,"NGN","This programme provides a thorough foundation in Business Administration, combining classroom instruction with practical exposure to prepare students for the demands of the field. Coursework spans areas such as management principles, finance, marketing, and organisational behaviour, giving students a rounded view of how modern businesses operate. The programme builds practical skills in problem-solving, communication, and strategic thinking for the modern workplace. Graduates leave equipped for careers in management, finance, consulting, entrepreneurship, and the wider corporate sector, with a solid foundation for further academic or professional advancement. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.babcock.edu.ng/program/bsc-business-administration","Undergraduate","No loan currently available",0,"2026-07-12T20:25:04.364Z"
"mUNK0vacEj","B.Sc Accounting","https://images.pexels.com/photos/4342498/pexels-photo-4342498.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",860000,"NGN",100000,"NGN","The Accounting degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. Coursework spans areas such as management principles, finance, marketing, and organisational behaviour, giving students a rounded view of how modern businesses operate. Graduates develop strong analytical, decision-making, and leadership skills valued across the private and public sectors. On completion, graduates are well positioned for entry-level careers in management, finance, consulting, entrepreneurship, and the wider corporate sector, or to pursue further postgraduate study. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.babcock.edu.ng/program/bsc-accounting","Undergraduate","No loan currently available",0,"2026-07-12T20:25:04.746Z"
"z4ttbpGeLv","B.Sc Agricultural Economics and Extension","https://images.pexels.com/photos/325944/pexels-photo-325944.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",730000,"NGN",100000,"NGN","This undergraduate programme in Agricultural Economics and Extension is designed to give students a solid grounding in the core theories, principles, and practical skills that define the field. Students engage with the biological, technical, and environmental factors that shape sustainable practice in the field. The programme builds technical competence and problem-solving skills relevant to sustainable practice. Graduates leave equipped for careers in agribusiness, environmental management, research, and rural development, with a solid foundation for further academic or professional advancement.","https://www.babcock.edu.ng/program/bsc-agricultural-economics-and-extension","Undergraduate","No loan currently available",0,"2026-07-12T20:25:05.094Z"
"Flow1Nlt8R","B.Sc Animal Science","https://images.pexels.com/photos/16107500/pexels-photo-16107500.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",730000,"NGN",100000,"NGN","Designed for undergraduate students, this Animal Science programme builds a strong theoretical and practical base across the core areas of the discipline. The curriculum combines scientific principles with practical, field-based training relevant to the discipline. Graduates develop practical, field-ready skills alongside a strong scientific understanding of the discipline. On completion, graduates are well positioned for entry-level careers in agribusiness, environmental management, research, and rural development, or to pursue further postgraduate study.","https://www.babcock.edu.ng/program/bsc-animal-science","Undergraduate","No loan currently available",0,"2026-07-12T20:25:05.462Z"
"xSCyJtN-Go","B.Sc Biochemistry","https://images.pexels.com/photos/4031692/pexels-photo-4031692.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",1190000,"NGN",100000,"NGN","This undergraduate programme in Biochemistry is designed to give students a solid grounding in the core theories, principles, and practical skills that define the field. Coursework covers core scientific principles alongside supervised practical and clinical experience. Graduates develop the clinical judgement, technical competence, and professionalism expected of practitioners in the field. Graduates leave equipped for careers in clinical practice, public health, research, and the wider health sector, with a solid foundation for further academic or professional advancement.","https://www.babcock.edu.ng/program/bsc-biochemistry","Undergraduate","No loan currently available",0,"2026-07-12T20:25:05.895Z"
"5kYTwI09JF","B.Sc Computer Science","https://images.pexels.com/photos/546819/pexels-photo-546819.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",1100000,"NGN",100000,"NGN","The Computer Science degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. The curriculum covers programming, systems design, data structures, and the digital technologies that underpin modern computing. Graduates develop strong problem-solving and technical skills that are in high demand across industries. Graduates leave equipped for careers in software development, IT consulting, systems administration, and technology-driven organisations, with a solid foundation for further academic or professional advancement. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.babcock.edu.ng/program/bsc-computer-science","Undergraduate","No loan currently available",0,"2026-07-12T20:25:06.304Z"
"d2PY86WyfO","B.Sc Economics","https://images.pexels.com/photos/7877023/pexels-photo-7877023.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",825000,"NGN",100000,"NGN","Designed for undergraduate students, this Economics programme builds a strong theoretical and practical base across the core areas of the discipline. Students engage with research methods, social theory, and the institutions and structures that shape human behaviour and society. Graduates develop strong analytical and research skills that are transferable across many careers. Graduates leave equipped for careers in public service, research, policy analysis, NGOs, and the corporate sector, with a solid foundation for further academic or professional advancement. The programme places strong emphasis on both theoretical depth and practical relevance to real-world contexts in Nigeria and beyond.","https://www.babcock.edu.ng/program/bsc-economics","Undergraduate","No loan currently available",0,"2026-07-12T20:25:06.725Z"
"B7Qn2o4W7_","B.Sc Finance","https://images.pexels.com/photos/4342498/pexels-photo-4342498.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",860000,"NGN",100000,"NGN","The Finance degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. Students engage with topics such as business economics, corporate finance, marketing strategy, and operations management. Graduates develop strong analytical, decision-making, and leadership skills valued across the private and public sectors. Graduates leave equipped for careers in management, finance, consulting, entrepreneurship, and the wider corporate sector, with a solid foundation for further academic or professional advancement.","https://www.babcock.edu.ng/program/bsc-finance","Undergraduate","No loan currently available",0,"2026-07-12T20:25:07.092Z"
"bae2caxUU6","B.Sc Information Technology","https://images.pexels.com/photos/5203849/pexels-photo-5203849.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",1100000,"NGN",100000,"NGN","The Information Technology degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. Coursework spans programming languages, systems analysis, databases, and the practical tools used in modern technology environments. Graduates develop strong problem-solving and technical skills that are in high demand across industries. Graduates leave equipped for careers in software development, IT consulting, systems administration, and technology-driven organisations, with a solid foundation for further academic or professional advancement.","https://www.babcock.edu.ng/program/bsc-information-technology","Undergraduate","No loan currently available",0,"2026-07-12T20:25:07.443Z"
"MrhfF7fPha","B.Sc Mass Communication","https://images.pexels.com/photos/6950229/pexels-photo-6950229.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",840000,"NGN",100000,"NGN","This programme provides a thorough foundation in Mass Communication, combining classroom instruction with practical exposure to prepare students for the demands of the field. The curriculum covers media theory, production skills, and the practical craft of communicating to different audiences. Graduates develop practical production skills alongside a critical understanding of media and its influence. Graduates leave equipped for careers in broadcasting, journalism, public relations, advertising, and digital media, with a solid foundation for further academic or professional advancement. The programme places strong emphasis on both theoretical depth and practical relevance to real-world contexts in Nigeria and beyond.","https://www.babcock.edu.ng/program/bsc-mass-communication","Undergraduate","No loan currently available",0,"2026-07-12T20:25:07.797Z"
"MW9rEI4x5p","B.Sc Microbiology","https://images.pexels.com/photos/9574561/pexels-photo-9574561.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",1190000,"NGN",100000,"NGN","This programme provides a thorough foundation in Microbiology, combining classroom instruction with practical exposure to prepare students for the demands of the field. Coursework covers core scientific principles alongside supervised practical and clinical experience. The programme builds practical competence and an evidence-based approach to patient and community care. Graduates leave equipped for careers in clinical practice, public health, research, and the wider health sector, with a solid foundation for further academic or professional advancement. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.babcock.edu.ng/program/bsc-microbiology","Undergraduate","No loan currently available",0,"2026-07-12T20:25:08.172Z"
"88pH1H5I_5","B.Sc Physiology","https://images.pexels.com/photos/6129867/pexels-photo-6129867.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",1190000,"NGN",100000,"NGN","Designed for undergraduate students, this Physiology programme builds a strong theoretical and practical base across the core areas of the discipline. Students engage with the biological and clinical sciences that underpin safe, effective practice in the health field. The programme builds practical competence and an evidence-based approach to patient and community care. On completion, graduates are well positioned for entry-level careers in clinical practice, public health, research, and the wider health sector, or to pursue further postgraduate study.","https://www.babcock.edu.ng/program/bsc-physiology","Undergraduate","No loan currently available",0,"2026-07-12T20:25:08.535Z"
"T8w3ifBxSy","B.Sc Political Science","https://images.pexels.com/photos/8847206/pexels-photo-8847206.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",825000,"NGN",100000,"NGN","Designed for undergraduate students, this Political Science programme builds a strong theoretical and practical base across the core areas of the discipline. Coursework covers key theoretical frameworks alongside practical research skills used to study social, political, and economic issues. Graduates develop strong analytical and research skills that are transferable across many careers. Graduates leave equipped for careers in public service, research, policy analysis, NGOs, and the corporate sector, with a solid foundation for further academic or professional advancement. The programme places strong emphasis on both theoretical depth and practical relevance to real-world contexts in Nigeria and beyond.","https://www.babcock.edu.ng/program/bsc-political-science","Undergraduate","No loan currently available",0,"2026-07-12T20:25:08.983Z"
"09fSVyPZr8","B.Sc Public Health","https://images.pexels.com/photos/8442094/pexels-photo-8442094.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",1190000,"NGN",100000,"NGN","This programme provides a thorough foundation in Public Health, combining classroom instruction with practical exposure to prepare students for the demands of the field. Coursework covers core scientific principles alongside supervised practical and clinical experience. The programme builds practical competence and an evidence-based approach to patient and community care. Graduates leave equipped for careers in clinical practice, public health, research, and the wider health sector, with a solid foundation for further academic or professional advancement.","https://www.babcock.edu.ng/program/bsc-public-health","Undergraduate","No loan currently available",0,"2026-07-12T20:25:09.354Z"
"Q98Cyew3Sj","BMLS Medical Laboratory Science","https://images.pexels.com/photos/6627693/pexels-photo-6627693.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","5 years",1190000,"NGN",100000,"NGN","The Medical Laboratory Science degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. Coursework covers core scientific principles alongside supervised practical and clinical experience. The programme builds practical competence and an evidence-based approach to patient and community care. Graduates leave equipped for careers in clinical practice, public health, research, and the wider health sector, with a solid foundation for further academic or professional advancement. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.babcock.edu.ng/program/bmls-medical-laboratory-science-degree","Undergraduate","No loan currently available",0,"2026-07-12T20:25:09.714Z"
"J6xNfHMgaA","BIRM Information Resources Management","https://images.pexels.com/photos/8371707/pexels-photo-8371707.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",860000,"NGN",100000,"NGN","The BIRM Information Resources Management degree programme offers students a comprehensive introduction to the key concepts, methods, and real-world applications that shape the discipline. The curriculum covers core business functions including accounting, strategy, human resource management, and entrepreneurship. Graduates develop strong analytical, decision-making, and leadership skills valued across the private and public sectors. On completion, graduates are well positioned for entry-level careers in management, finance, consulting, entrepreneurship, and the wider corporate sector, or to pursue further postgraduate study. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.babcock.edu.ng/program/birm-bachelor-in-information-resources-management","Undergraduate","No loan currently available",0,"2026-07-12T20:25:10.164Z"
"44U4bTUAII","B.Sc Social Work and Human Services","https://images.pexels.com/photos/34151361/pexels-photo-34151361.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","4 years",825000,"NGN",100000,"NGN","Designed for undergraduate students, this Social Work and Human Services programme builds a strong theoretical and practical base across the core areas of the discipline. Coursework covers key theoretical frameworks alongside practical research skills used to study social, political, and economic issues. The programme builds critical thinking and communication skills useful in research, policy, and community-facing roles. On completion, graduates are well positioned for entry-level careers in public service, research, policy analysis, NGOs, and the corporate sector, or to pursue further postgraduate study. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.babcock.edu.ng/program/bachelors-in-social-work-and-human-services","Undergraduate","No loan currently available",0,"2026-07-12T20:25:10.518Z"
"7eDP1Z-ssR","MBBS Medicine","https://images.pexels.com/photos/5452209/pexels-photo-5452209.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","jSD_N5zg3I","No Scholarship","No current information available on scholarship opportunities for this course.","6 years",1190000,"NGN",100000,"NGN","This undergraduate programme in Medicine is designed to give students a solid grounding in the core theories, principles, and practical skills that define the field. The curriculum combines rigorous scientific training with clinical or laboratory exposure relevant to the field. The programme builds practical competence and an evidence-based approach to patient and community care. Graduates leave equipped for careers in clinical practice, public health, research, and the wider health sector, with a solid foundation for further academic or professional advancement. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.babcock.edu.ng/program/medicine-mbbs","Undergraduate","No loan currently available",0,"2026-07-12T20:25:10.911Z"
"yIwjPwMZh1","PGD Pharmacognosy","https://images.pexels.com/photos/19471015/pexels-photo-19471015.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","41-P6aBN1G","No Scholarship","No current information available on scholarship opportunities for this course.","1 years",800000,"NGN",100000,"NGN","This postgraduate diploma in Pharmacognosy is designed for graduates seeking to deepen their knowledge and build practical competence in the field ahead of further specialisation. Students engage with the biological and clinical sciences that underpin safe, effective practice in the health field. Graduates develop the clinical judgement, technical competence, and professionalism expected of practitioners in the field. On completion, graduates are well positioned for entry-level careers in clinical practice, public health, research, and the wider health sector, or to pursue further postgraduate study. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.madonnauniversity.edu.ng/admission-postgraduate/","Postgraduate","No loan currently available",0,"2026-07-12T20:25:11.634Z"
"r03TBHuq1G","M.Sc. Pharmacognosy","https://images.pexels.com/photos/19471015/pexels-photo-19471015.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","41-P6aBN1G","No Scholarship","No current information available on scholarship opportunities for this course.","2 years",800000,"NGN",100000,"NGN","Structured for holders of a relevant first degree, this Pharmacognosy programme develops advanced competence and specialised insight into the discipline. Students engage with the biological and clinical sciences that underpin safe, effective practice in the health field. Graduates develop the clinical judgement, technical competence, and professionalism expected of practitioners in the field. On completion, graduates are equipped for advanced roles in clinical practice, public health, research, and the wider health sector, or to proceed to doctoral research. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.madonnauniversity.edu.ng/admission-postgraduate/","Postgraduate","No loan currently available",0,"2026-07-12T20:25:12.012Z"
"7B-rC3N59d","Ph.D. Pharmacognosy","https://images.pexels.com/photos/19471015/pexels-photo-19471015.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","41-P6aBN1G","No Scholarship","No current information available on scholarship opportunities for this course.","3 years",800000,"NGN",100000,"NGN","This doctoral programme in Pharmacognosy trains candidates to conduct original, independent research that contributes new knowledge to the field. Students engage with the biological and clinical sciences that underpin safe, effective practice in the health field. Graduates develop the clinical judgement, technical competence, and professionalism expected of practitioners in the field. Graduates are prepared for careers in academia, research leadership, and senior specialist roles in clinical practice, public health, research, and the wider health sector. Throughout the programme, students benefit from a mix of structured coursework, practical exposure, and guided mentorship.","https://www.madonnauniversity.edu.ng/admission-postgraduate/","Postgraduate","No loan currently available",0,"2026-07-12T20:25:12.363Z"
"34Q8X2Qpfs","M.Sc. Physiology","https://images.pexels.com/photos/6129867/pexels-photo-6129867.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","41-P6aBN1G","No Scholarship","No current information available on scholarship opportunities for this course.","2 years",800000,"NGN",100000,"NGN","Structured for holders of a relevant first degree, this Physiology programme develops advanced competence and specialised insight into the discipline. Students engage with the biological and clinical sciences that underpin safe, effective practice in the health field. The programme builds practical competence and an evidence-based approach to patient and community care. On completion, graduates are equipped for advanced roles in clinical practice, public health, research, and the wider health sector, or to proceed to doctoral research.","https://www.madonnauniversity.edu.ng/admission-postgraduate/","Postgraduate","No loan currently available",0,"2026-07-12T20:25:22.020Z"
"ioyME-AzN8","PGD Pharmaceutics and Pharmaceuitcal Technology","https://images.pexels.com/photos/3873162/pexels-photo-3873162.jpeg?auto=compress&cs=tinysrgb&w=1600&h=900&fit=crop","41-P6aBN1G","No Scholarship","No current information available on scholarship opportunities for this course.","1 years",800000,"NGN",100000,"NGN","This postgraduate diploma in Pharmaceutics and Pharmaceuitcal Technology is designed for graduates seeking to deepen their knowledge and build practical competence in the field ahead of further specialisation. Coursework covers core scientific principles alongside supervised practical and clinical experience. Graduates develop the clinical judgement, technical competence, and professionalism expected of practitioners in the field. On completion, graduates are well positioned for entry-level careers in clinical practice, public health, research, and the wider health sector, or to pursue further postgraduate study. Emphasis is placed on building competence that meets the expectations of employers and professional bodies in the field.","https://www.madonnauniversity.edu.ng/admission-postgraduate/","Postgraduate","No loan currently available",0,"2026-07-12T20:25:12.732Z"
